mes,id_colaborador,funcao,tipo_meta,valor_meta
2026-06,CLO05,Closer,valor_vendido_anual,32000
2026-06,CLO06,Closer,valor_vendido_anual,32000
2026-06,CLO07,Closer,valor_vendido_anual,32000
2026-06,CLO08,Closer,valor_vendido_anual,32000
2026-06,CLO09,Closer,valor_vendido_anual,21000
2026-06,CLO10,Closer,valor_vendido_anual,21000
2026-06,CLO11,Closer,valor_vendido_anual,21000
2026-06,CLO12,Closer,valor_vendido_anual,21000
2026-06,CLO13,Closer,valor_vendido_anual,21000
2026-06,CLO14,Closer,valor_vendido_anual,13000
2026-06,CLO15,Closer,valor_vendido_anual,13000
2026-06,CLO16,Closer,valor_vendido_anual,13000
2026-06,CLO17,Closer,valor_vendido_anual,13000
2026-06,REC01,Recuperador,contratos_recuperados,3
2026-06,REC02,Recuperador,contratos_recuperados,3
2026-06,REC03,Recuperador,contratos_recuperados,3
2026-07,GES01,Gestor,valor_vendido_anual_time,411000
2026-07,SDR01,SDR,reunioes_realizadas,80
2026-07,SDR02,SDR,reunioes_realizadas,80
2026-07,SDR03,SDR,reunioes_realizadas,80
2026-07,SDR04,SDR,reunioes_realizadas,65
2026-07,SDR05,SDR,reunioes_realizadas,65
2026-07,SDR06,SDR,reunioes_realizadas,65
2026-07,SDR07,SDR,reunioes_realizadas,50
2026-07,SDR08,SDR,reunioes_realizadas,50
2026-07,SDR09,SDR,reunioes_realizadas,50
2026-07,CLO01,Closer,valor_vendido_anual,40000
2026-07,CLO02,Closer,valor_vendido_anual,40000
2026-07,CLO03,Closer,valor_vendido_anual,28000
2026-07,CLO04,Closer,valor_vendido_anual,18000
2026-07,CLO05,Closer,valor_vendido_anual,32000
2026-07,CLO06,Closer,valor_vendido_anual,32000
2026-07,CLO07,Closer,valor_vendido_anual,32000
2026-07,CLO08,Closer,valor_vendido_anual,32000
2026-07,CLO09,Closer,valor_vendido_anual,21000
2026-07,CLO10,Closer,valor_vendido_anual,21000
2026-07,CLO11,Closer,valor_vendido_anual,21000
2026-07,CLO12,Closer,valor_vendido_anual,21000
2026-07,CLO13,Closer,valor_vendido_anual,21000
2026-07,CLO14,Closer,valor_vendido_anual,13000
2026-07,CLO15,Closer,valor_vendido_anual,13000
2026-07,CLO16,Closer,valor_vendido_anual,13000
2026-07,CLO17,Closer,valor_vendido_anual,13000
2026-07,REC01,Recuperador,contratos_recuperados,3
2026-07,REC02,Recuperador,contratos_recuperados,3
2026-07,REC03,Recuperador,contratos_recuperados,3
2026-08,GES01,Gestor,valor_vendido_anual_time,411000
2026-08,SDR01,SDR,reunioes_realizadas,80
2026-08,SDR02,SDR,reunioes_realizadas,80
2026-08,SDR03,SDR,reunioes_realizadas,80
2026-08,SDR04,SDR,reunioes_realizadas,65
2026-08,SDR05,SDR,reunioes_realizadas,65
2026-08,SDR06,SDR,reunioes_realizadas,65
2026-08,SDR07,SDR,reunioes_realizadas,50
2026-08,SDR08,SDR,reunioes_realizadas,50
2026-08,SDR09,SDR,reunioes_realizadas,50
2026-08,CLO01,Closer,valor_vendido_anual,40000
2026-08,CLO02,Closer,valor_vendido_anual,40000
2026-08,CLO03,Closer,valor_vendido_anual,28000
2026-08,CLO04,Closer,valor_vendido_anual,18000
2026-08,CLO05,Closer,valor_vendido_anual,32000
2026-08,CLO06,Closer,valor_vendido_anual,32000
2026-08,CLO07,Closer,valor_vendido_anual,32000
2026-08,CLO08,Closer,valor_vendido_anual,32000
2026-08,CLO09,Closer,valor_vendido_anual,21000
2026-08,CLO10,Closer,valor_vendido_anual,21000
2026-08,CLO11,Closer,valor_vendido_anual,21000
2026-08,CLO12,Closer,valor_vendido_anual,21000
2026-08,CLO13,Closer,valor_vendido_anual,21000
2026-08,CLO14,Closer,valor_vendido_anual,13000
2026-08,CLO15,Closer,valor_vendido_anual,13000
2026-08,CLO16,Closer,valor_vendido_anual,13000
2026-08,CLO17,Closer,valor_vendido_anual,13000
2026-08,REC01,Recuperador,contratos_recuperados,3
2026-08,REC02,Recuperador,contratos_recuperados,3
2026-08,REC03,Recuperador,contratos_recuperados,3
